generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,400,2231.63,-60023.1,50,0
50000,436,2374.58,-60072.2,435.539,0.384
100000,415,2285.24,-60024.5,385.3,0.401273
150000,424,2296.63,-60036.8,430.541,0.407
200000,414,2289.62,-60045.3,411.231,0.389
250000,406,2217.79,-60025.6,395.846,0.406
300000,429,2344.56,-60009.5,446.67,0.398
350000,454,2522.41,-59999.6,476.173,0.405
400000,463,2592.82,-60005.3,459.315,0.4
450000,435,2434.39,-60025.1,419.923,0.381
500000,406,2256,-60045.7,415.869,0.407
550000,424,2358.06,-59983,440.466,0.383
600000,463,2535.89,-59917.7,439.528,0.408
650000,467,2539.38,-60007.4,474.537,0.428
700000,486,2664.56,-59973.4,452.791,0.422
750000,443,2395.51,-60048.6,434.145,0.395803
800000,483,2630.75,-59966.1,454.334,0.42
850000,489,2670.04,-60076.3,523.123,0.393
900000,476,2571.6,-60047.2,483.829,0.386
950000,433,2348.83,-60069.2,403.947,0.395
1000000,440,2466.77,-60017.3,439.504,0.397
1050000,414,2294.83,-60050.6,416.188,0.362
1100000,440,2449.2,-60017.1,437.265,0.42
1150000,425,2361.98,-59979.7,430.907,0.375
1200000,455,2534.3,-59991.2,417.072,0.371
1250000,445,2470.53,-60062.4,453.826,0.413
1300000,440,2375.77,-60035.2,439.693,0.396
1350000,464,2544.86,-60021.3,503.318,0.385
1400000,443,2387.38,-60085,429.215,0.384
1450000,439,2447.93,-60076.2,409.615,0.434
1500000,465,2527.62,-59960.6,444.433,0.415
1550000,477,2628.04,-59998.8,488.002,0.415
1600000,470,2604.74,-60006.6,428.907,0.435
1650000,456,2476.3,-59985.5,457.668,0.418
1700000,463,2529.47,-60000.8,453.01,0.384
1750000,458,2498.43,-59972.3,431.897,0.378
1800000,484,2727.26,-60007.2,493.741,0.404
1850000,408,2234.68,-59989,399.764,0.382
1900000,464,2539.21,-60054.3,453.292,0.402
1950000,408,2239.37,-60059.4,389.596,0.406
2000000,404,2219.22,-60047.8,381.68,0.41575
2050000,451,2535.2,-59985.7,401.886,0.425
2100000,434,2399.11,-60022.6,424.946,0.37
2150000,425,2385.73,-59971.1,399.22,0.392
2200000,413,2290.63,-59993.8,412.069,0.387
2250000,418,2269.64,-59974.2,415.847,0.36
2300000,411,2228.63,-60021,409.337,0.391
2350000,470,2579.87,-59959.3,448.337,0.365
2400000,472,2592.84,-60022.9,483.414,0.4
2450000,424,2310.52,-60007.2,463.009,0.383
2500000,423,2328.78,-60046.5,428.408,0.385
2550000,437,2398.15,-60044,454.79,0.409
2600000,483,2655.63,-60070.7,471.753,0.379
2650000,487,2708.65,-60088.1,482.979,0.418
2700000,475,2608.57,-60095.1,491.121,0.424
2750000,472,2579.28,-60079.8,485.866,0.401
